r	的
kxx	吡
kxxn	吡
lkmu	賀
pucy	衩
yvw	谀
yvwy	谀
afcn	鞍马
cdgg	巴布亚新几内亚
fcjj	去日
gktt	逗笑
gkvb	五味杂陈
gyfn	斑块
ishc	漆皮
iwpu	浴袍
jcja	蚂蟥
ligr	连滚带爬
lrtn	因势利导
njoo	慢火
petr	农牧
pnrb	密报
rbvi	摄录
teey	筋脉
ukje	问明
ulhc	兽皮
usxx	亲缘
uwtu	冷箭
wlyn	贫困户
wsnn	体己
wxyv	货郎
xtih	纤小
ymbc	调取
kxx	哔
kxx	咝
ajdj	蟇
eet	貉
eetk	貉
jpju	暝
jwkq	蛻
tfn	毪
tfnh	毪
wriy	侏
ekgt	脚踏两只船
ewwg	脏兮兮
fiii	未消
fndg	声威
gdii	一石激起千层浪
gtwx	一般化
hofh	眯起
iilh	浅尝辄止
mwgx	同位素
nydu	惊厥
ogbg	精卫
ohxf	粘结
pgus	定亲
pwnk	鹤壁
rphh	按上
ucgg	闯王
uslk	尊驾
wrnf	保护层
wwrp	坐探
xqww	绝伦
djdv	婓
cdqa	参错
dirh	耕牛
dsyy	奇文
eset	腰腹
fgag	干戈
fppd	丧家之犬
ggrr	歪歪扭扭
grkn	一失足成千古恨
hhny	上心
ihpy	小视
mdgd	颛顼
nfqe	丑角
spce	棕熊
uakk	并口
ubut	闻道
uegh	剪下
ulqk	背黑锅
uqgf	次于
vpyy	婉言
wcpj	公审
wdir	做派
wjta	伸长
wmwi	依山傍水
xupf	弱冠
drvc	磤
hxd	砦
hxdf	砦
lde	囿
lded	囿
mkqn	贶
bupt	陪客
ddlk	大加
dhmm	在册
drss	碑林
fhgm	直刺
ijyv	温良
jnkf	电喷
josv	显要
lbuk	国防部
pgnr	官逼民反
pqjf	密锣紧鼓
quts	镜箱
qwfw	杀人越货
rhqs	扑杀
rmfp	招财进宝
tbyl	得陇望蜀
tcwf	私会
tudx	千头万绪
uqad	盗匪
wnnt	假性
wpgo	付之一炬
wqxi	僧多粥少
wrov	件数
wuqn	何首乌
wyij	含混
det	髟
htnn	盵
jqkg	昫
kmfg	呥
anwr	甘居人后
btan	降世
bwpd	除害
esal	采莲
ffty	未老先衰
fjdj	韩非
gepu	青衫
gkud	带状
iaip	满堂
ilty	渐入
lpna	边民
mfbw	财险
mwrh	肉牛
qkgj	名噪一时
rgmf	后周
rwbq	失陷
sfxg	标线
ujhm	童贞
uudu	旁门左道
whaf	修鞋
wwbc	偷取
ymxc	调经
det	髦
fwfj	暬
igwq	濔
jgva	蛵
jynt	昈
muy	罔
muyn	罔
qnt	饪
qntf	饪
vkm	娲
vkmw	娲
ahmf	牙雕
awmm	巫山
dxrd	袭扰
eeuf	月半
eewy	月食
fydi	无为而治
ivvt	小九九
kdtk	顺和
kgyg	吁请
ktai	喀秋莎
lqqn	软饭
myny	丹心
oadg	煤厂
rgtq	白平衡
rhyu	年谱
sdga	楔形
ujsa	单杠
wftl	会务
xkwt	强作
nfc	恸
nfcl	恸
bhyg	承上启下
diyx	成活率
egmw	县内
emgc	觅到
gxcq	素鸡
kgqd	哑然
khxx	鹭鸶
plxu	穿甲弹
qmiv	钢梁
rayj	找齐
rtvv	白毛女
rwdh	拴在
tdys	乱麻
tjgp	乍暖还寒
tkyl	各为
txqi	管弦乐
xgtx	母系
xrkq	编年史
khgm	貴
qopx	鮀
qqyy	釣
vukg	婄
bdgk	随带
cdvs	参杂
dpma	大家风范
ftee	才貌
iigg	堂堂正正
ijdq	肖申克
imue	油煎
lkyy	回廊
nquc	心猿意马
qvhk	争战
rjjq	气昂昂
rtcy	持币观望
rwxe	拾级
tlsu	血样
ttii	稳稳当当
tyxq	稿纸
uxig	凝滞
wjdd	似是而非
xkmq	强风
xllq	细软
xwgk	缎带
ywpt	亡命之徒
akfw	臡
igq	洌
igqj	洌
iooo	濙
iqoy	淗
tqay	秪
vwgj	嬒
whcy	佊
atsa	东躲西藏
dacy	有苦难言
dgym	古庙
dwug	厌食症
fdbr	城隍
gfsf	球杆
ghux	正北
glsa	画框
iblu	浪子回头
ijlq	汨罗
imqn	少见多怪
jvgr	坚忍不拔
klaq	中国区
kttl	咯血
llwd	男优
oqtt	炮竹
oxod	糨糊
qfyj	针剂
qksf	免票
qqah	金牙
rgub	手到病除
ugyc	美育
ujut	单产
ujyc	意译
urud	交白卷
whor	依此类推
xnox	弹尽粮绝
yarb	谎报
bmbl	出阵
dnid	万源
dtye	寿衣
epts	逐条
fdtd	老大徒伤悲
fhtq	走稳
flja	雷暴
ftft	土生土长
geii	静水
jjos	照明灯
jmwc	愚公
kklp	串连
ktii	吃水
lkgk	圆融
lwpe	输家
mgfk	同喜
mqua	购并
pnpw	官窑
ppkp	冤家路窄
qkqe	名角
qtuq	觥筹交错
riyy	朱文
tduf	乔装
umif	商法
unii	痛快淋漓
uxpu	递补
wvti	分秒
dehc	髲
qbto	鶵
qdn	铖
qdnt	铖
uwyk	凔
wdfn	侉
xyqn	綂
yqvh	诤
eyoo	脑炎
ffut	土产
ghyw	政论
glth	画片
iauf	灌装
kgnf	中下层
odud	糊状
qhsf	钻杆
qnui	刨冰
resd	摇椅
rnes	扭腰
sgnt	配发
ulod	兽类
uwpt	闪客
wtcw	作难
xrig	缴清
gmmv	瓔
htgf	歱
ilrf	壍
kpqb	啘
pyff	禱
teu	艏
teuh	艏
aqdk	黄钟大吕
ddeb	套服
djpc	大显神通
gasg	开本
gatl	武备
ield	活受罪
igic	浅滩
iiiy	湿漉漉
imad	油藏
kgdn	吓成
lfqg	黑钱
mjdy	同日而语
numw	买肉
oaif	煤尘
pdty	寄往
qggd	鲸吞
qgvt	鱼群
runi	拉尿
tpsy	乏术
tyad	往期
ueca	前驱
vgdy	姨丈
wdha	伏虎
ygpt	主客
yydu	康庄大道
teu	艟
jguh	蚲
rqyg	揈
vpmh	帚
cncw	能屈能伸
cqfg	巴尔干
duin	胡辣汤
eeef	胳膊肘
fcte	云盘
fpny	过心
ggtj	来不得
ghaq	政区
hwah	龅牙
iptl	常备
jpnn	鉴定书
jspt	照本宣科
kelt	吸力
khnv	遗恨
kwxf	喉结
mwav	内切
njad	悍匪
nrtg	怕生
pdga	割开
qcdh	迎难而上
qgtj	怨不得
shcl	相劝
svyq	要义
uwyj	总会计师
wfpf	值守
wwjc	从紧
yhtf	讣告
yutx	谱系
deaw	髸
iqpw	濥
kwvn	吩
mhj	幔
mhjc	幔
pwnk	窹
swwn	麪
ugo	羔
ugou	羔
aady	落落大方
adyq	基底
afar	鞋匠
btbg	聒耳
eblq	服软
kftp	喷管
khds	中厅
lxit	累活
mtmm	账册
ncrv	怪招
qbpt	凶宅
rbuj	报章
rgtv	兵不血刃
rrff	近朱者赤
sgax	配药
tjov	得数
tyut	入道
ucux	背对背
ugrw	资不抵债
ytrg	诱捕
ugo	羹
ugo	痖
bhgj	旹
fdlb	雳
itaw	澨
jdui	暸
wgho	傿
wwgu	僜
yah	讶
yaht	讶
awsw	苍松
eutp	胶管
fiub	未闻
gpim	两袖清风
jrwx	电气化
jseg	果脯
khhi	跨步
kidg	顺流而下
ktqw	响铃
lfet	转用
mquw	风疹
qeam	蟹黄
qksg	够本
qwuf	铃兰
rtgk	拖带
sfgk	飘带
trqi	穆尔
dnie	碿
fkke	喪
snih	樨
basg	陈醋
gqbi	裂隙
idqe	尖角
iirj	浮光掠影
inee	温情脉脉
jtru	昆德拉
kagr	叫苦不迭
mmlg	山国
oafn	火葬场
peny	农忙
pggn	宁死不屈
pgrv	定势
pmgi	穷山恶水
qhlu	外圈
qtkb	狂吼
rnxh	所引
rwiq	抢光
ssui	标本兼治
toiy	秋游
ujhk	闪电战
utkt	疾呼
weyy	八股文
wtxt	侨乡
xypj	编审
ftfb	郉
gqwg	殲
qgl	鳃
qgln	鳃
bgii	隔水
ccre	双拥
fjhk	进占
ftou	霉烂
indh	浓眉大眼
jnij	坚壁清野
megm	骨刺
mfss	凡士林
nyaf	心甘
ryia	抗洪
tcet	私用
tcwx	私货
tfsi	毛桃
ufym	装设
ujid	音源
ukbp	半路出家
uuwo	新新人类
uxhc	凝眸
uyay	门庭若市
vbxt	妇孺皆知
wcbi	公函
wges	倒彩
whst	修桥
xoot	引火烧身
ygtj	说不得
yjyq	诺曼底
ymtj	高利
ynxu	羸弱
yoym	变调
gkgg	珵
puat	襪
ylwt	谡
betf	阴德
cesf	通票
ddol	大烟
drcj	百年难遇
fqkm	元勋
haxg	虚线
jtbb	蛾子
kmgg	路见不平
knuy	叫门
mspw	丹顶鹤
oaeb	炼乳
oirh	炒掉
pgyn	窝囊废
ptln	家徒四壁
qlyo	急转弯
qtwg	狠命
qyyn	解说词
sfab	枝节
thlw	自办
tlus	血亲
tuuf	简装
vgwx	如来佛
wakw	借喻
wdun	人面兽心
wqya	低度
xknk	细嚼慢咽
ycwc	充公
ynqg	刻印
aov	蒌
aovf	蒌
jxjm	曊
puke	裐
bwge	附表
daga	砸开
djsh	厚朴
etpb	用字
etqc	用色
fibc	求取
frss	十年树木
gkgt	一唱一和
gudj	平辈
guhw	夹具
ihwf	小传
ituj	泛音
jhyf	早读
kgft	吸毒者
kjma	唱曲
klkc	喟叹
oeig	粗浅
oqhk	燃点
qmdk	名山大川
qrsf	锦标
qrwy	兜售
qugu	铲平
ssts	木条
tigo	乔治亚
uipg	冰室
wddt	做寿
wpcq	合家欢
yfgy	永志不忘
yvnn	诏书
ywlp	文人墨客
aov	薮
amef	蓇
aqa	芪
jlvg	螻
thkg	秥
xhi	缈
xhit	緲
ayuh	东施效颦
cnqy	马勺
ebah	乳牙
ghnt	政改
iglt	滔天罪行
imjn	江山易改
iskt	河川
kkkl	哎呦喂
rdev	拔腿
rdxx	排比
rllu	年轻力壮
rpyp	擦亮
thvf	自寻
tiqn	科学馆
tsyq	箱底
whfi	企求
wsya	休谟
xggu	纯平
ypti	望穿秋水
agm	芾
agmh	芾
pwtk	竆
sesy	棌
wweg	俎
yqv	诌
yqvg	诌
alai	菌落
ldmh	因由
lfyj	罢课
lpfh	连起
mwfj	内刊
ngwu	改恶从善
qiah	尔雅
ruuf	拼装
rvna	招展
rvxa	殷红
ssig	桃李满天下
thlf	自转
tjeq	香脆
tnae	物尽其用
tpic	管涌
uupg	立定
xncn	比翼双飞
yqv	诤
qojr	鯣
wth	亻
xie	绡
bcai	聚落
cfkg	对号
dqqc	古铜色
faje	载明
fhyf	走读
gfdg	一二三
ggbc	下不了台
gnxp	一以贯之
gqfv	残雪
hvjp	眼晕
igft	当事者
iikk	水患
ipfy	深坑
khxa	蹿红
llvf	男妓
nfyy	导言
pxxg	补给线
qgae	鲁菜
qyta	久长
rtra	播撒
tdha	笑面虎
thqy	自留
trho	重操旧业
tsbb	笔杆子
uchk	交叉点
uqcq	交欢
uvfa	童叟无欺
vqwn	婚假
xflw	疆界
ytfb	庄稼地
ytki	放哨
krd	嗥
krdf	嗥
pubm	袦
pywj	祄
wkqb	兌
bffu	陡增
jgut	师道
khxg	中线
nnyo	异性恋
ofbl	迷魂阵
omyp	数典忘祖
qvrr	银白
rads	找碴
rgdy	兵不厌诈
shke	相吸
tmyi	秃鹫
tvfg	很坏
vlbb	舅子
xwjt	纵览
youj	变音
ahkm	賾
apf	蔻
apfc	蔻
dskc	攲
iqwl	盜
amsa	英模
ankk	艺品
awue	花前
ayjc	黄庭坚
cnju	鸡蛋里挑骨头
dmre	面授
fpjn	过电
garn	开掘
gjdb	惠顾
inyn	小心谨慎
kksr	跷跷板
lwqh	界外
mhps	贝宁
nhrl	收押
nwny	快人快语
phgo	寂灭
qain	错漏
qgna	铺展
ryfu	扩增
stmw	梅岭
subf	校际
udni	头屑
uisy	冰柱
xttt	绝处逢生
yjdh	裹在
ynjf	遍野
yqux	义弟
ytqj	刘禹锡
yydc	文友
arc	葩
arcb	葩
hknn	乩
ajng	草屋
cnvn	马刀
ddjo	大显
etxg	胜绩
ihvc	婆妈
iyma	小夜曲
kqpn	史官
lfpp	置之
mate	贼船
mbuq	邮资
mudt	几次三番
neww	买受人
ntvy	心乱如麻
qgii	鱼水
risc	近水楼台
rpjt	探监
sdvb	顶好
tyxg	等高线
ujgq	单列
uvud	兼差
wxfn	货场
yspw	魔窟
dffq	磽
fnan	垊
idwi	溙
iijg	涾
iqay	泜
rdqq	摤
bcif	取法
cnww	巴人
dgde	三有
dhsn	面目可憎
eufb	腾地
geos	青灯
jmdj	明见万里
jqjy	晚景
kfim	喷溅
lcxy	轻纺
myrf	山高皇帝远
nbyi	屈就
pguq	定将
pwih	窄小
qntj	饭香
raou	撕烂
rnqk	扬名
srbq	枪打出头鸟
tctm	径向
udal	头功
vgei	寻死觅活
wdyf	做庄
epgm	臏
gegg	珇
jwy	蛉
jwyc	蛉
kdfn	咵
muvo	賺
rvln	擸
afwo	荒无人烟
bdgc	随到
buyr	承前启后
ccll	桑田
ckbu	台联
daij	厮混
ddfo	大赦
fhrm	赶制
ftdj	老辈
ftfj	考进
fvag	雪莱
gqbl	列阵
gtfy	天造地设
igog	清炖
lijs	罗汉果
lkat	加蓬
msdy	剁碎
perf	农技
qgal	鱼苗
qgtd	鲜甜
rbvf	报建
tfsu	选样
vqwi	如饥似渴
wrgd	倒打一耙
agnn	瓨
augo	蓔
cs	骠
grim	璳
iaat	淺
iujn	滝
kkdk	嚻
njl	愠
njlg	愠
qyey	锿
ajkf	草叶
dgnr	感愧
ejrn	腥气
ffdc	坛友
fhfh	趔趄
fjfk	朝露
ghbp	下院
hapw	虎穴
jfpe	时宜
jnwt	归心似箭
kryw	听诊
lkqk	回锅
pgfw	定规
pgny	定心
qdtm	铸币
qtrd	猪排
rbuh	报站
rqid	牛角尖
rwru	扒拉
rxem	括约肌
sspy	梦神
tcgd	私吞
utfk	道喜
utgu	半身不遂
wiak	倘或
ywhe	谁肯
jgxw	蛦
jng	蛡
sft	栳
sftx	栳
bwrg	附后
dqtl	破镜重圆
eppf	受寒
fjrg	朝后
gaxg	开线
ksfn	噤声
lfqr	黑铁
ltru	力拼
mgyq	同义
mtgm	贬责
ptad	宅基
rdrm	所有制
sofk	枯燥无味
ssid	林涛
tpjk	稗官野史
uarb	并报
vtff	如入无人之境
yknf	训导
ymtt	调笑
axt	芗
axtr	芗
lqjf	斣
ntln	憁
pwws	窱
tdg	秙
uaf	疳
byfg	防雨
clyg	劝谏
gjuy	一时半刻
kfsg	吐槽
kqfj	吹进
mqca	刚劲
nnnh	书眉
pqcs	福尔马林
pwsd	穹顶
qhto	外翻
qjbv	象限
qkqu	锅铲
rggq	揭不开锅
rjsc	揽权
rvsv	势要
tdae	甜菜
utip	道学
vise	妙极
vtpv	君安
wmtf	催告
xurn	弹拨
yhnt	盲目性
ywpy	夜视
gntt	珌
ipju	蛍
mehl	髗
mmr	罂
mmrm	罂
njt	惺
aati	蓬荜生辉
dpgd	三室两厅
fgsu	干校
gute	平盘
gxtu	毒箭
iirv	水势
imte	油船
krfn	听声
lstp	困乏
mngg	贼心不死
mtcx	曲径通幽
njtg	尼日利亚
oock	烽火台
opte	迷航
pmvc	守财奴
qaip	昏沉
qccn	皱巴巴
qwrs	锻打
rnrw	后发制人
rrui	白冰
vbgy	君子一言
wflt	传略
whqr	倏忽
xlyo	细谈
xqud	纸头
dhk	砧
dhkg	砧
tvdh	衟
wglj	會
afdm	鞋面
ahfg	雅士
algx	菌素
bwsk	队歌
ghdf	玷辱
ghgj	正理
lgkk	国骂
oanf	煤层
rfnt	抚恤
rlan	舞艺
sady	模态
ukwf	兑付
utrr	道白
wmah	侧卧
wxdp	人皆有之
gqk	殒
khfw	趺
pyme	禯
abau	荫蔽
ajou	草料
dgtr	古物
dphh	达卡
etoa	用煤
ftka	走街串巷
gmxy	责编
gyfw	班规
hiwg	叔侄
iuip	滂沱
mrfc	贩运
mudb	罔顾
munn	赠书
ngsh	怀想
qxif	久经沙场
rnrs	扭打
sjuk	查问
vgxv	嫩绿
xkqr	织锦
ygnd	评剧
yqgj	义理
gyxy	玹
swym	檇
tdhw	歓
utgm	癪
vyna	媥
agqi	戈尔
apyg	蒙语
bbwo	子承父业
ffwn	封侯
fpxj	懿旨
fquj	元音
gfiu	不二法门
gxqf	毒针
hkia	占满
imua	油瓶
jcfn	肾亏
pwdi	空耗
qqaa	金工
sgxc	西经
thrh	延年
uqsu	将校
uspy	新禧
vbdt	如隔三秋
wmwc	仙翁
xwkg	纷呈
xxwy	比邻
ycpl	充军
ysgu	磨平
jyvk	螗
kan	喋
kans	喋
ugjf	竱
vpju	嫇
weph	僢
annk	巨擘
dcdy	有勇有谋
dksm	压路机
dqsc	砍树
ghmj	与此同时
ghws	政体
gkqk	整句
kfkp	嘟哝
kwwa	只供
lqoy	软糖
ncdm	以柔克刚
oqos	燃灯
otfl	炸雷
pqqt	冤狱
qnyn	蚀刻
qvjt	煞星
rfvn	持刀
rrtk	白种
ttwa	笔伐
virc	肃反
gqpm	殯
iujn	澺
khj	踝
khjs	踝
qgy	鲚
qgyj	鲚
tang	秬
ybou	烹
affy	苇塘
dkpw	百叶窗
dwyh	百货店
gowr	来件
kpkp	喀嚓
lefg	四脚朝天
mpyd	迪庆
nqta	以逸待劳
pgjy	写景
qgin	印泥
qtml	猪崽
rsdj	打非
tdic	矫治
vnlk	刀架
vsps	如梦初醒
hdu	狊
itie	潲
ntb	悸
abyc	节育
aytt	芦笙
cqvk	欢娱
gksc	事权
gpdh	不宣而战
gquk	残部
iaia	洪涝
isyq	河底
ogkm	炊事员
olxx	烟丝
qcqc	勾勾
qdka	桀犬吠尧
qtjv	夕照
rbmq	拙见
rbwt	拙作
sdbb	楔子
tigg	香消玉殒
toic	翻涌
tqdk	秀外慧中
ttsi	徇私枉法
utgk	疾速
vchh	怒目
vfii	嬉水
vgef	嫩肤
wuwu	佼佼
aiaf	茳
iplb	労
jmq	蚬
jmqn	蚬
juj	蟑
jujh	蟑
ktfm	囋
sdmh	柨
awqc	茶色
cmif	观潮
dwwa	秦代
fupf	吉普赛
gkqn	豆包
jwlq	暹罗
lkrt	回手
nnpf	羽冠
qftp	针管
qios	镁光灯
qmlk	钢架
qvbm	急聘
rryn	誓词
sjmm	查岗
udtt	着笔
vgrr	嫩白
wwwy	欲念
xeyn	组词
ypsn	弃之可惜
eqdy	膽
fve	垠
fvey	垠
imwn	涔
qtsg	猹
ayyf	散文诗
esrf	采撷
euxq	胶纸
gald	开罪
ihgq	濒死
jewy	明令
jsis	果酒
khnd	跃居
kykc	咏叹
lgqc	国色
mqmq	飕飕
nusq	飞檐
nyeb	心服
pjxf	审结
ptgq	客死
qqdt	争名夺利
qqtq	锒铛入狱
qtfk	狂喜
sgpk	西宫
sjyy	查访
tepe	船家
tion	短小精悍
tyov	篇数
wgiy	合流
xkqy	强留
jxxt	蟣
nakl	懄
ncyj	慅
qmy	钡
qufh	钭
qye	铱
qyey	铱
uwgd	痊
wdfe	侲
bgqn	耳饰
fdbb	韩非子
ffef	墙脚
gaqu	开镜
gufc	平动
gwgu	天公不作美
hniy	卢湾
ispy	酒神
kkrl	踢踏舞
kpri	趵突泉
ksku	叮咬
kxgx	叶绿素
naba	恍若隔世
njnw	惺忪
qnou	饭粒
qsny	杀尽
rruf	折半
tgpb	生字
thmf	自赎
tunt	身首异处
wult	位图
wvfh	分赴
xgjh	线虫
qye	锿
aysd	蘑
dif	耩
diff	耩
jtg	曛
jtgo	曛
kdu	噘
kduw	噘
ooj	剡
oojh	剡
amiw	黄雀
anic	戈壁滩
apfd	蓉城
aqtm	警笛
ceak	通勤
gjcw	下里巴人
gkgm	带刺
kete	吸盘
ouyb	烂熟
pkos	宫灯
qhpe	外家
qmrf	铜质
rvnk	投鼠忌器
rxcu	兵强马壮
tbdt	乘隙而入
tcga	私刑
towa	翻供
towv	秋分
tpkk	航空器
uddp	兼而有之
vtwq	群像
vvsu	女校
wwtg	偷生
aln	葸
alnu	葸
damd	碤
jdcy	蛂
mmg	峒
mmgk	峒
mmq	岘
mmqn	岘
ns	怵
pwcs	梥
wfqi	澩
cehh	通上
ednx	胆大心细
eswa	采伐
fcqr	云锦
ffou	填料
gjvg	表里如一
ipgf	溶于
jnwu	电位
jydg	旷古
kkum	口蹄疫
kwky	吟咏
lqyp	转危为安
ltwj	力偶
mgsm	同机
onrx	断指
ppck	写字台
qili	饮水思源
qmdw	狂风大作
qnip	饱尝
qqse	多极
rmny	投以
scsg	权柄
sgya	酸度
stqs	格杀
tefb	租地
uqgy	交班
vrve	即插即用
vxdg	如约而至
wkbi	保函
xpfj	缩进
ysln	席梦思
ysyn	订户
clg	驷
dgm	碛
khy	踮
khyk	踮
krr	哳
krrh	哳
pyye	禳
vxuu	嫋
agsg	莱西
awna	花展
dekf	有味
desi	胡桃
eudr	胜券在握
ffij	土温
fvxg	雪线
gwrp	亚伯拉罕
gygi	一衣带水
ipyy	常言
iswk	酒保
juam	暗黄
odmg	类同
prlg	穷兵黩武
pugh	补正
rast	拱桥
rwwa	迭代
thrd	自拔
wkws	从中作梗
yiik	望洋兴叹
ynnm	齐刷刷
yntf	谬赞
yysa	方框
efm	腩
efmf	腩
gwyp	璡
muxx	嵫
nawf	壂
aqrd	敬拜
atli	功德圆满
ddwa	布达佩斯
dggf	大不列颠
ffrm	二进制
fihh	未卜
fjvn	博览群书
flud	替罪羊
fnff	专款
ftmt	老几
gdru	亚非拉
gkun	速决
itif	洗尘
kdue	顺遂
khyv	忠良
lhlp	四边
navt	异姓
oaqr	炼铁
odtd	烦乱
ophk	熔点
qrfp	铁索
qvrr	煞白
qwkk	孵化器
rnbw	摒除
shna	相异
sjad	查勘
sjgk	松紧带
tewu	舱位
usli	门可罗雀
viiu	娇滴滴
wugy	低头不语
wyqc	贪色
xqnh	绝收
yasu	试样
yglk	请回
ysjy	魔影
glgg	畺
jhl	勖
jhln	勖
mnmw	歄
mqj	峋
mqjg	峋
qwyn	钤
twvh	鵆
augr	颐养天年
ddxy	大统
dmyd	面庞
draw	牵牛花
fmnu	南飞
gdlr	天堑
govn	灭鼠
juqc	暗色
mgjv	同归
mogr	风烛残年
mqbf	网际
qrdq	狄拉克
ritv	挥洒自如
rivi	抄录
saxy	横纹
ssoy	榻榻米
tgyf	重整旗鼓
uqry	奖掖
vnak	媚惑
vtgm	娇丽
xtxj	乡绅
dsjh	磹
fogy	墣
fvi	埭
fviy	埭
ifwf	淕
jwfi	暩
kub	嗍
kube	嗍
mukg	賠
ojaf	熚
pyu	禚
pyuo	禚
tldy	秵
uhhc	闅
wukq	侻
brte	孤舟
ccip	双掌
iilu	水圈
imrb	测报
kbkf	嗫嚅
kdkf	咕嘟
kkyf	呜呼哀哉
lkff	加封
lkfh	架起
ltcl	力劝
olfn	烟霞
pajf	密苏里
pgel	字正腔圆
ugwg	病倒
unuh	慈眉善目
wbfk	仓颉
wkwu	侣伴
wteq	侨胞
xdps	毋宁
xfus	结亲
xvuf	绿装
yndt	亡故
ysdi	磨耗
cap	迳
capd	迳
hfc	瞌
hfcl	瞌
ipnm	滵
msw	崧
mswc	崧
pyup	禭
qofy	鯄
tqb	禿
udye	養
vaq	妪
vaqy	妪
afsg	甘醇
aufj	黄道吉日
beiq	阴沟
biwr	函件
bwaq	险区
date	春花秋月
dhnn	破局
dhsr	砧板
dpgn	百密一疏
etqa	用错
foeg	赤膊
ghov	正数
hnux	鸬鹚
iyyh	洗衣店
nmrh	刷掉
rifw	挑夫
rmtd	投敌
rqnd	抱憾
rqrd	抱憾
smfj	机井
sows	楼体
sspf	木塞
xxrf	丝质
xysu	编校
xytr	统御
ylyy	为文
ipwa	涳
oopi	禜
qggy	鲡
qmyy	钒
qttb	狏
txfj	毎
ahlv	卧轨
aios	荧光灯
bhsr	阿卜杜拉
cndy	马太
dedn	有成
gwft	与会者
hgdi	彪形大汉
igha	清虚
imsm	油桐
iqpe	渔家
mqxn	风纪
opss	迷梦
pebb	家子
pypr	礼宾
ueev	前腿
unfq	决无
uytc	门径
xlxg	细线
ynfa	词霸
ysit	麻省
ejh	刖
jftx	蛯
sdy	枤
uvq	阋
uvqv	阋
yng	诩
bntn	聊以自慰
btuw	隆准
ceje	通明
dwph	万人之上
fgng	雨情
gtpf	不毛之地
gwfl	五代十国
gytj	不言自明
ityc	源程序
iugc	滚到
knjp	响尾蛇
lfvi	转录
pewf	家传
pgce	定能
qrkr	包打听
qvug	急病
ruuu	挠痒痒
rytw	护符
ssst	木桥
thqk	自勉
tlye	血衣
ufst	单元格
xcya	经度
ybrt	熟手
yvdv	庸碌
yng	词
agu	荚
aguw	荚
gpgg	瑄
gqho	殩
rfwy	皬
vvqn	婗
ynqb	巟
ypt	诧
ypta	诧
apte	营盘
bmlu	出圈
cwii	难消
damm	雁荡山
dddw	顾左右而言他
futf	增选
fvth	雪片
hsfa	柴可夫斯基
ican	治世
itsq	海德格尔
juyn	暗房
khbp	中院
lfve	围垦
nuda	飞碟
nyuq	以资
qgfb	铺地
skuy	可辨
tjjv	复归
tmtf	躬行
uaii	闯荡江湖
uiou	冰糕
wbtu	创税
wvps	伊宁
wvym	分设
ymrf	高挂
yohj	恋旧
yutq	谦称
ovfh	粋
qgj	鳗
qgjc	鳗
sann	枻
skvn	枴
twgk	秴
xful	盭
adsr	基板
bgia	隔江
dcds	雄奇
djtt	万里长征
euet	腹背受敌
fjmq	朝见
hjyk	卓识
islt	酒力
kbhv	嗓子眼
pnjn	密电
pnnu	社情民意
pvya	安度
qbfr	负隅顽抗
qric	铁汉
qsjg	镖师
rtga	撬开
spji	西安电子科技大学
sqxu	榴弹
whnn	修书
wsaa	体式
wvwt	分作
xcuj	经意
xruq	缴交
ybhx	离此
yndu	永磁
ytha	施虐
aym	藁
ayms	藁
fku	鼙
fkuf	鼙
ldth	轣
lrdf	磛
nnfg	忸
sggx	釃
tivf	筜
aamm	黄花岗
dxbj	龙阳
ecwu	胎位
fiou	未料
gyfg	天诛地灭
kfxm	吐纳
kuyk	品头论足
legt	略胜一筹
ndsr	憨态可掬
nduj	居间
ngni	愧不敢当
qeqg	狗胆包天
qtky	狼嚎
rktf	操行
rral	白薯
ssni	木屑
tlgq	片甲不留
uirn	阔气
uitt	逆水行舟
unwu	闷倦
uqae	酱菜
xtya	乡试
yayf	试讲
ajhc	皵
fqay	坻
iqfc	鼗
kheg	跙
qtyw	獷
werm	傜
annd	甘心情愿
cete	通航
etga	用刑
fqxx	均比
hfsi	虚无飘渺
iata	浇筑
ibwt	光阴似箭
iiie	活学活用
isow	河粉
kmel	勋爵
lhlf	四围
msqg	盎格鲁
mwfg	肉干
mwit	内省
pekq	家史
pwvt	窠臼
rxdw	后继有人
udpw	关窗
uevu	前嫌
ukfd	冲垮
weim	优胜劣败
wycy	停驻
yvte	刻录盘
anwy	藋
klle	嗋
aink	薄壁
amfc	英魂
bcwy	取信
bnny	也以
cnvt	马群
eexf	月结
fapl	裁军
gxie	恶贯满盈
idrd	学有所成
iftf	清教徒
jpng	晓之以理
lfiy	转注
llhk	车轮战
ohwy	粘住
pxis	塞纳河
pywd	神佑
qigg	名满天下
slug	相思病
teii	透水
tflf	行署
udxq	卷纸
uwdc	益友
uxgo	北亚
vnie	刀削
vtxw	娇纵
vvpe	女家
wyai	付诸东流
ygqv	主键
ijyi	澋
jefy	蛶
mtd	峤
mtdj	峤
qnfl	馌
rrrf	皨
wge	毹
wgen	毹
xxgg	鸶
aucr	鞍前马后
eygf	及于
fhap	直营
fqrv	均势
hjca	皮影戏
nlny	心连心
nxex	以弱胜强
nyma	心曲
ptia	客满
qnfg	包干
qtaa	犯戒
rplx	年富力强
scsy	权术
sffg	枝干
ssic	楚汉
ufpe	阖家
uyrr	辩白
wrah	伯牙
ymcw	高难
yojn	变电
dtf	焘
dtfo	焘
fjff	坓
fkkf	墠
fnm	罄
fnmm	罄
gyy	玟
